planner_item_id	peq_item_id	item_name	material	idfile	color	item_type
1754	1001	Cloth Cap	0	IT63	0	10
1765	1002	Cloth Veil	0	IT63	0	10
1756	1003	Cloth Choker	0	IT63	0	10
1763	1004	Cloth Shirt	0	IT63	0	10
1762	1005	Cloth Shawl	0	IT63	0	10
1755	1006	Cloth Cape	0	IT63	0	10
1758	1007	Cloth Cord	0	IT63	0	10
1764	1008	Cloth Sleeves	0	IT63	0	10
1766	1009	Cloth Wristband	0	IT63	0	10
1759	1010	Cloth Gloves	0	IT63	0	10
1760	1011	Cloth Pants	0	IT63	0	10
1761	1012	Cloth Sandals	0	IT63	0	10
8842	1013	Small Cloth Cap	0	IT63	0	10
8852	1014	Small Cloth Veil	0	IT63	0	10
8844	1015	Small Cloth Choker	0	IT63	0	10
8850	1016	Small Cloth Shirt	0	IT63	0	10
8849	1017	Small Cloth Shawl	0	IT63	0	10
8843	1018	Small Cloth Cape	0	IT63	0	10
8845	1019	Small Cloth Cord	0	IT63	0	10
8851	1020	Small Cloth Sleeves	0	IT63	0	10
8853	1021	Small Cloth Wristband	0	IT63	0	10
8846	1022	Small Cloth Gloves	0	IT63	0	10
8847	1023	Small Cloth Pants	0	IT63	0	10
8848	1024	Small Cloth Sandals	0	IT63	0	10
5552	1025	Large Cloth Cap	0	IT63	0	10
5562	1026	Large Cloth Veil	0	IT63	0	10
5554	1027	Large Cloth Choker	0	IT63	0	10
5560	1028	Large Cloth Shirt	0	IT63	0	10
5559	1029	Large Cloth Shawl	0	IT63	0	10
5553	1030	Large Cloth Cape	0	IT63	0	10
5555	1031	Large Cloth Cord	0	IT63	0	10
5561	1032	Large Cloth Sleeves	0	IT63	0	10
5563	1033	Large Cloth Wristband	0	IT63	0	10
5556	1034	Large Cloth Gloves	0	IT63	0	10
5557	1035	Large Cloth Pants	0	IT63	0	10
5558	1036	Large Cloth Sandals	0	IT63	0	10
3664	1037	Fur Lined Shoes	0	IT63	0	10
9641	1038	Tattered Cloth Sandal	0	IT63	0	10
5181	1040	Iron Torque	0	IT63	0	10
5595	1042	Large Iron Torque	0	IT63	0	10
8881	1043	Small Iron Torque	0	IT63	0	10
10359	1044	Velium Round Shield	0	IT228	0	255
7601	1045	Rodrick's Head	0	IT63	0	255
747	1048	Black Leather Cloak	0	IT63	0	10
1344	1049	Brown Leather Gloves	1	IT63	0	10
7298	1050	Rat Fur Cap	0	IT63	0	10
7302	1051	Rat Pelt Cape	0	IT63	0	10
9068	1052	Snake Fang Necklace	0	IT63	0	255
7291	1053	Rat's Foot Necklace	0	IT63	0	255
10219	1054	Used Merchants Gloves	0	IT63	0	255
8397	1055	Shawl of the Wind Spirit	0	IT63	0	10
3177	1056	Faded Cloak	0	IT63	0	10
6394	1057	Mystic Cloak	0	IT63	0	10
9734	1060	Teir`Dal Robe Red	16	IT63	9835540	10
3378	1061	Fishbone Necklace	0	IT63	0	10
5335	1062	Kerran Fishingpole	0	IT38	0	3
5338	1063	Kerran Tribal Headband	0	IT63	0	10
10002	1064	Trakanasaur Hide Tunic	1	IT63	7234710	10
10000	1065	Trakanasaur Hide Leggings	1	IT63	7234710	10
10001	1066	Trakanasaur Hide Sleeves	1	IT63	7234710	10
9999	1067	Trakanasaur Hide Gloves	1	IT63	7234710	10
4491	1068	Holy Dirt of Brell	0	IT63	0	255
3270	1069	Fiery Jewel of the Underfoot	0	IT63	0	255
9171	1070	Speckled Granite Pebble	0	IT63	0	255
5875	1071	Living Heart of a Brell Minion	0	IT63	0	255
944	1072	Blood Flecked Obsidian Shard	0	IT63	0	255
7725	1074	Ruined Heretic Longsword	0	IT1	0	0
1961	1075	Cracked Paineel Shield	0	IT215	0	255
7742	1076	Ruined Sword Hilt	0	IT63	0	255
4025	1077	Gold lined heretic cloak	0	IT63	0	255
6306	1080	Mithril Studded Skullcap	1	IT63	4278190080	10
6304	1081	Mithril Studded Mask	0	IT63	0	10
6302	1082	Mithril Studded Gorget	0	IT63	0	10
6308	1083	Mithril Studded Tunic	1	IT63	4278190080	10
6305	1084	Mithril Studded Shoulderpads	0	IT63	4278190080	10
6300	1085	Mithril Studded Cloak	0	IT63	4278190080	10
6298	1086	Mithril Studded Belt	0	IT63	4278190080	10
